u_id,tuition,in_state
161022,14558,0
161077,5760,0
161077,2880,1
161086,60840,0
161138,5760,0
161138,2880,1
161192,5760,0
161192,2880,1
161208,24500,0
161217,18750,0
161217,7350,1
161226,20400,0
161226,8640,1
161235,12120,0
161235,7350,1
161253,33240,0
161253,11640,1
161299,26955,0
161299,11474,1
161341,12120,0
161341,7350,1
161457,39510,0
161484,5760,0
161484,2880,1
161509,39100,0
161518,41586,0
161545,5760,0
161545,2880,1
161554,22680,0
161554,8064,1
161563,28954,0
161572,11280,0
161581,5760,0
161581,2880,1
161688,10200,0
161688,7860,1
161767,12450,0
161767,7920,1
161864,6720,0
161864,2640,1
161873,20746,0
161873,7296,1
162007,16666,0
162007,5874,1
162061,25830,0
162104,8490,0
162104,7290,1
162122,7392,0
162122,5760,1
162168,7536,0
162168,5376,1
162210,23400,0
162283,11492,0
162283,4836,1
162557,9168,0
162557,6768,1
162584,21854,0
162584,6974,1
162609,10920,0
162609,8792,1
162654,49020,0
162690,7560,0
162690,5760,1
162706,7800,0
162706,5520,1
162760,43800,0
162779,8694,0
162779,6939,1
162928,60480,0
163046,53430,0
163204,11976,0
163204,7488,1
163259,39597,0
163259,9635,1
163268,25820,0
163268,9056,1
163286,37931,0
163286,9695,1
163295,51870,0
163338,16467,0
163338,5637,1
163426,11220,0
163426,8070,1
163453,15949,0
163453,5477,1
163462,44330,0
163532,13700,0
163578,39250,0
163657,7464,0
163657,5016,1
163851,18032,0
163851,7556,1
163912,28192,0
163912,12116,1
163976,36040,0
164076,23240,0
164076,7238,1
164085,15269,0
164155,NULL,0
164173,36036,0
164216,50626,0
164270,46800,0
164313,7752,0
164313,6192,1
164368,48375,0
164447,40550,0
164465,63500,0
164492,38410,0
164562,46680,0
164580,54944,0
164614,11400,0
164632,35781,0
164641,28500,0
164739,56500,0
164748,46950,0
164775,6240,0
164775,624,1
164872,21144,0
164915,20736,0
164924,62950,0
164988,61050,0
165015,61724,0
165024,7050,0
165024,910,1
165033,5520,0
165033,576,1
165112,5520,0
165112,576,1
165167,17190,0
165194,5520,0
165194,576,1
165264,30438,0
165334,52000,0
165495,37498,0
165529,42440,0
165574,43200,0
165644,26730,0
165662,51552,0
165671,44448,0
165699,36926,0
165802,33150,0
165820,7050,0
165820,970,1
165866,7050,0
165866,970,1
165884,16950,0
165936,26010,0
165945,23250,0
165981,6744,0
165981,624,1
166018,52714,0
166027,52659,0
166045,0,0
166054,21940,0
166124,57600,0
166133,10224,0
166133,5280,1
166391,40980,0
166407,25987,0
166452,30514,0
166489,49500,0
166513,33830,0
166513,15462,1
166629,37405,0
166629,16186,1
166638,35515,0
166638,14542,1
166647,5520,0
166647,576,1
166656,36060,0
166674,27420,0
166674,1030,1
166683,57590,0
166692,15882,0
166692,1994,1
166708,25494,0
166717,10000,0
166823,5520,0
166823,576,1
166850,45815,0
166869,80300,0
166887,5520,0
166887,576,1
166911,36200,0
166939,58280,0
166957,5520,0
166957,600,1
